<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20010103,100000,0.9497,0.9543,0.9497,0.9535
EURUSD,20010103,110000,0.9534,0.9549,0.9526,0.9542
EURUSD,20010103,120000,0.9541,0.9569,0.9534,0.9563
EURUSD,20010103,130000,0.9564,0.9566,0.9541,0.9546
EURUSD,20010103,140000,0.9547,0.9549,0.9523,0.9526
EURUSD,20010103,150000,0.9527,0.9533,0.9503,0.9517
EURUSD,20010103,160000,0.9518,0.9520,0.9475,0.9484
EURUSD,20010103,170000,0.9485,0.9498,0.9444,0.9456
EURUSD,20010103,180000,0.9455,0.9477,0.9450,0.9475
EURUSD,20010103,190000,0.9476,0.9477,0.9446,0.9447
EURUSD,20010103,200000,0.9446,0.9463,0.9330,0.9330
EURUSD,20010103,210000,0.9331,0.9355,0.9273,0.9288
EURUSD,20010103,220000,0.9289,0.9297,0.9275,0.9284
EURUSD,20010103,230000,0.9285,0.9292,0.9270,0.9271
EURUSD,20010103,235800,0.9270,0.9278,0.9262,0.9271
EURUSD,20010104,010000,0.9272,0.9285,0.9269,0.9283
EURUSD,20010104,020000,0.9285,0.9308,0.9285,0.9301
EURUSD,20010104,030000,0.9297,0.9306,0.9290,0.9293
EURUSD,20010104,040000,0.9292,0.9298,0.9290,0.9297
EURUSD,20010104,050000,0.9298,0.9302,0.9297,0.9299
EURUSD,20010104,060000,0.9301,0.9304,0.9301,0.9303
EURUSD,20010104,070000,0.9304,0.9304,0.9290,0.9291
EURUSD,20010104,080000,0.9290,0.9324,0.9290,0.9320
EURUSD,20010104,090000,0.9319,0.9432,0.9318,0.9426
EURUSD,20010104,100000,0.9425,0.9488,0.9421,0.9455
EURUSD,20010104,110000,0.9456,0.9474,0.9444,0.9467
EURUSD,20010104,120000,0.9466,0.9515,0.9462,0.9503
EURUSD,20010104,130000,0.9502,0.9502,0.9457,0.9463
EURUSD,20010104,140000,0.9464,0.9472,0.9421,0.9469
EURUSD,20010104,150000,0.9468,0.9469,0.9440,0.9464
EURUSD,20010104,160000,0.9465,0.9477,0.9446,0.9477
EURUSD,20010104,170000,0.9476,0.9476,0.9436,0.9444
EURUSD,20010104,180000,0.9445,0.9449,0.9432,0.9445
EURUSD,20010104,190000,0.9443,0.9489,0.9441,0.9468
EURUSD,20010104,200000,0.9469,0.9493,0.9468,0.9493
EURUSD,20010104,210000,0.9494,0.9512,0.9486,0.9497
EURUSD,20010104,220000,0.9498,0.9502,0.9482,0.9492
EURUSD,20010104,230000,0.9489,0.9498,0.9487,0.9497
EURUSD,20010104,235800,0.9498,0.9510,0.9486,0.9510
EURUSD,20010105,010000,0.9507,0.9536,0.9507,0.9532
EURUSD,20010105,020000,0.9533,0.9539,0.9523,0.9525
EURUSD,20010105,030000,0.9526,0.9536,0.9524,0.9534
EURUSD,20010105,040000,0.9535,0.9548,0.9534,0.9535
EURUSD,20010105,050000,0.9534,0.9549,0.9530,0.9541
EURUSD,20010105,060000,0.9542,0.9574,0.9542,0.9570
EURUSD,20010105,070000,0.9571,0.9571,0.9556,0.9558
EURUSD,20010105,080000,0.9557,0.9567,0.9538,0.9548
EURUSD,20010105,090000,0.9546,0.9591,0.9530,0.9569
EURUSD,20010105,100000,0.9570,0.9570,0.9535,0.9535
EURUSD,20010105,110000,0.9534,0.9546,0.9529,0.9538
EURUSD,20010105,120000,0.9537,0.9545,0.9522,0.9533
EURUSD,20010105,130000,0.9532,0.9545,0.9520,0.9544
EURUSD,20010105,140000,0.9546,0.9546,0.9514,0.9528
EURUSD,20010105,150000,0.9529,0.9549,0.9464,0.9535
EURUSD,20010105,160000,0.9534,0.9547,0.9485,0.9540
EURUSD,20010105,170000,0.9539,0.9539,0.9504,0.9514
EURUSD,20010105,180000,0.9513,0.9534,0.9506,0.9534
EURUSD,20010105,190000,0.9535,0.9558,0.9530,0.9533
EURUSD,20010105,200000,0.9534,0.9573,0.9534,0.9566
EURUSD,20010105,210000,0.9569,0.9577,0.9560,0.9577
EURUSD,20010105,220000,0.9576,0.9582,0.9571,0.9575
EURUSD,20010108,010000,0.9582,0.9585,0.9576,0.9584
