<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
EURUSD,20111028,010000,1.4182,1.4182,1.4167,1.4171
EURUSD,20111028,020000,1.4171,1.4198,1.4167,1.4196
EURUSD,20111028,030000,1.4195,1.4196,1.4163,1.4182
EURUSD,20111028,040000,1.4181,1.4183,1.4170,1.4172
EURUSD,20111028,050000,1.4173,1.4174,1.4163,1.4166
EURUSD,20111028,060000,1.4167,1.4174,1.4158,1.4166
EURUSD,20111028,070000,1.4165,1.4173,1.4164,1.4171
EURUSD,20111028,080000,1.4170,1.4185,1.4168,1.4183
EURUSD,20111028,090000,1.4184,1.4194,1.4160,1.4180
EURUSD,20111028,100000,1.4181,1.4181,1.4153,1.4168
EURUSD,20111028,110000,1.4169,1.4195,1.4163,1.4176
EURUSD,20111028,120000,1.4175,1.4185,1.4155,1.4172
EURUSD,20111028,130000,1.4171,1.4173,1.4140,1.4155
EURUSD,20111028,140000,1.4154,1.4180,1.4132,1.4156
EURUSD,20111028,150000,1.4155,1.4175,1.4152,1.4163
EURUSD,20111028,160000,1.4162,1.4163,1.4134,1.4152
EURUSD,20111028,170000,1.4153,1.4179,1.4136,1.4174
EURUSD,20111028,180000,1.4175,1.4186,1.4156,1.4161
EURUSD,20111028,190000,1.4162,1.4166,1.4148,1.4160
EURUSD,20111028,200000,1.4161,1.4170,1.4155,1.4165
EURUSD,20111028,210000,1.4165,1.4172,1.4148,1.4152
EURUSD,20111028,220000,1.4152,1.4164,1.4146,1.4155
EURUSD,20111030,235900,1.4149,1.4160,1.4138,1.4144
EURUSD,20111031,010000,1.4141,1.4152,1.4135,1.4136
EURUSD,20111031,020000,1.4136,1.4149,1.4133,1.4148
EURUSD,20111031,030000,1.4149,1.4168,1.4076,1.4089
EURUSD,20111031,040000,1.4090,1.4116,1.4026,1.4045
EURUSD,20111031,050000,1.4046,1.4048,1.4012,1.4013
EURUSD,20111031,060000,1.4012,1.4014,1.3988,1.3988
EURUSD,20111031,070000,1.3988,1.4018,1.3985,1.3996
EURUSD,20111031,080000,1.3995,1.4035,1.3973,1.4030
EURUSD,20111031,090000,1.4029,1.4048,1.3994,1.4042
EURUSD,20111031,100000,1.4041,1.4051,1.3986,1.3993
EURUSD,20111031,110000,1.3994,1.4006,1.3980,1.3996
EURUSD,20111031,120000,1.3995,1.4014,1.3976,1.4010
EURUSD,20111031,130000,1.4009,1.4020,1.3991,1.4010
EURUSD,20111031,140000,1.4011,1.4013,1.3967,1.3999
EURUSD,20111031,150000,1.3998,1.4024,1.3984,1.3989
EURUSD,20111031,160000,1.3988,1.4009,1.3977,1.3982
EURUSD,20111031,170000,1.3981,1.3986,1.3929,1.3945
EURUSD,20111031,180000,1.3946,1.3957,1.3904,1.3925
EURUSD,20111031,190000,1.3924,1.3950,1.3919,1.3944
EURUSD,20111031,200000,1.3943,1.3946,1.3912,1.3921
EURUSD,20111031,210000,1.3920,1.3924,1.3827,1.3833
EURUSD,20111031,220000,1.3832,1.3860,1.3832,1.3855
EURUSD,20111031,230000,1.3856,1.3859,1.3841,1.3858
EURUSD,20111031,235900,1.3857,1.3859,1.3837,1.3841
